Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
Wagner Leonardo,GRE,Zagueiro,5.77,1.78,5,1.0,8.0,7.0,,,,,,,,,,,,,,,,,
Weverton,PAL,Goleiro,10.0,7.68,5,1.0,,,13.0,1.0,5.0,2.0,3.0,,,,,,,,,,,,
Léo Ortiz,FLA,Zagueiro,5.18,3.08,4,1.0,3.0,4.0,,,,,2.0,,,,,,,,,,,,
Lucas Mugni,CEA,Meia,6.49,4.13,3,1.0,5.0,4.0,,,1.0,,,1.0,2.0,,,,,,,,,,
Guilherme,SAN,Atacante,9.81,7.54,5,,15.0,3.0,,,10.0,,,,8.0,4.0,1.0,,,,,,,,
Lucho Rodríguez,BAH,Atacante,7.81,2.35,4,,2.0,3.0,,,5.0,,,,3.0,2.0,,,,,,,,,
Wesley,INT,Atacante,13.32,6.55,4,,8.0,2.0,,,10.0,,,1.0,3.0,2.0,,,,,,,,,
Matheus Pereira,CRU,Meia,15.05,5.28,4,2.0,9.0,5.0,,,17.0,,,,2.0,1.0,2.0,,,,,,,,
Juninho Capixaba,RBB,Lateral,12.51,11.48,5,1.0,18.0,7.0,,,10.0,,3.0,,4.0,2.0,1.0,1.0,,,,,,,
Matheuzinho,COR,Lateral,10.4,6.2,3,3.0,11.0,4.0,,,1.0,,1.0,,1.0,,,,,,,,,,
Savarino,BOT,Meia,10.6,5.74,5,,3.0,2.0,,,2.0,,,1.0,6.0,5.0,,1.0,,,,,,,
Everton Ribeiro,BAH,Meia,8.86,3.25,4,1.0,5.0,5.0,,,6.0,,,,,,,1.0,1.0,,,,,,
Léo Condé,CEA,Técnico,6.99,5.59,4,,,,,,,,,,,,,,,1.0,,,,,
Gustavo,JUV,Goleiro,4.04,1.93,3,,,,6.0,1.0,,9.0,,,,,,,,,,,,,
Ewerthon,JUV,Lateral,7.77,4.84,5,1.0,9.0,3.0,,,4.0,,1.0,,4.0,2.0,,,,,,,,,
Rogério Ceni,BAH,Técnico,8.61,4.92,5,,,,,,,,,,,,,,,1.0,,,,,
Gustavo Scarpa,CAM,Meia,10.95,2.94,5,,2.0,2.0,,,6.0,,,1.0,4.0,1.0,1.0,,,,,,,,
Everson,CAM,Goleiro,10.1,4.44,5,,,,14.0,,,6.0,2.0,,,,,,,,,,,,
Pedro Augusto,FOR,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Hugo Souza,COR,Goleiro,12.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Cuca,CAM,Técnico,9.94,5.3,5,,,,,,,,,,,,,,,1.0,,,,,
Yuri Alberto,COR,Atacante,12.37,4.96,5,1.0,1.0,5.0,,,6.0,,,1.0,8.0,3.0,2.0,1.0,,,,,,,
William,CRU,Lateral,17.38,12.17,3,1.0,14.0,5.0,,,3.0,,1.0,2.0,2.0,,1.0,,,,,,,,
Fabrício Bruno,CRU,Zagueiro,7.49,2.94,5,3.0,8.0,5.0,,,2.0,,1.0,,,1.0,,,,,,,,,
Lucas Moura,SAO,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Fábio,FLU,Goleiro,9.85,4.06,5,,,,11.0,,,4.0,2.0,,,,,,,,,,,,
Bruno Henrique,FLA,Atacante,6.74,2.9,5,,1.0,4.0,,,4.0,,,,4.0,1.0,2.0,1.0,,,,,,,
Moisés,FOR,Atacante,11.49,3.53,3,1.0,2.0,1.0,,,1.0,,,1.0,3.0,1.0,2.0,,,,,,,,
Danilo Boza,JUV,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Pedro,FLA,Atacante,20.46,9.3,2,,1.0,,,,1.0,,,,,3.0,,2.0,,,1.0,1.0,,,
Arias,FLU,Meia,14.61,6.42,5,,6.0,5.0,,,12.0,,,1.0,4.0,2.0,,1.0,,,,,,,
Nenê,JUV,Meia,4.26,0.75,2,,,,,,3.0,,,,,,,,,,,,,,
Danilo,FLA,Zagueiro,17.63,17.1,1,,3.0,3.0,,,1.0,,1.0,,,,,1.0,,,,,,,
Villasanti,GRE,Meia,11.83,5.6,5,2.0,21.0,11.0,,,2.0,,,,1.0,,,,,,,,,,
Gabriel,CRU,Atacante,7.11,2.55,4,,,1.0,,,2.0,,,,2.0,,1.0,1.0,,,,,,,
Tiago Volpi,GRE,Goleiro,6.67,2.22,5,1.0,,,17.0,,2.0,10.0,,,,,,,,,,,1.0,,
Filipe Luís,FLA,Técnico,12.22,7.44,5,,,,,,,,,,,,,,,3.0,,,,,
